"","X","X9541","X8602","X9421","X9634","X8140","X9313","X8608","X7948","X9682","X9631","X7990","X9847","X8515","X9712","X7009","X7408","X9493","X7846","X9511","X9157","X9610","X9661","X8167","X7678","X11344","X10813","X10021","X10663","X10183","X10771","X10729","X10897"
"1","","EN",NA,NA,"EN",NA,NA,"EN",NA,NA,"EN",NA,"EN","EN","EN","EN","EN","EN","EN","EN","EN","EN","EN","EN",NA,"EN",NA,"EN",NA,NA,"EN",NA,"EN"
"11","MAF-predict-where-sell","0",0,0,"0",0,0,"0",0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,"0",0,"0",0,0,"0",0,"0"
"12","MAF-predict-who-invite","0",0,0,"0",0,0,"0",0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,"0",0,"0",0,0,"0",0,"0"
"13","MAF-predict-who-select","0",0,0,"0",0,0,"0",0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,"0",0,"0",0,0,"0",0,"0"
"14","MATF-predict-where-locate","1",0,0,"1",0,1,"1",1,0,"0",0,"0","0","1","1","1","1","1","0","1","0","1","0",1,"0",1,"1",1,1,"1",1,"1"
"15","MATF-predict-where-display","1",1,0,"1",0,1,"1",1,0,"1",1,"1","0","1","1","0","1","1","0","1","1","1","1",1,"0",1,"1",1,1,"1",1,"0"
"16","MATF-predict-who-ask","0",0,1,"1",0,1,"0",0,0,"0",1,"1","0","1","0","1","1","1","0","0","0","1","0",1,"0",1,"1",0,1,"0",1,"0"
"17","MATF-predict-who-contact","1",0,0,"1",1,1,"0",1,0,"1",1,"1","0","1","1","1","1","1","0","1","1","1","1",1,"1",1,"1",1,1,"1",1,"1"
"18","MAF-know-where-locate","0",0,0,"0",0,0,"0",0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0",1,"0",0,"0",1,0,"1",0,"0"
"19","MAF-know-where-display","0",0,1,"0",0,0,"0",0,0,"0",0,"0","0","0","0","0","0","0","1","0","1","0","0",0,"0",0,"0",1,0,"1",0,"0"
"20","MAF-know-who-ask","0",0,0,"0",0,0,"0",0,1,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,"0",0,"0",0,0,"0",0,"0"
"21","MAF-know-who-contact","0",0,0,"0",0,0,"0",0,0,"0",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,"0",0,"0",0,0,"0",0,"0"
"22","MATF-know-where-find","1",0,0,"1",1,1,"0",1,0,"1",1,"1","0","0","0","1","1","1","0","1","1","1","0",1,"1",1,"1",1,1,"1",1,"0"
"23","MATF-know-where-hide","1",0,0,"0",0,0,"0",0,0,"1",0,"0","0","1","0","0","0","1","0","0","0","0","0",0,"0",0,"0",0,0,"0",0,"0"
"24","MATF-know-who-recruit","0",0,1,"1",0,1,"0",1,0,"0",1,"1","0","0","0","1","1","0","0","0","0","1","0",0,"0",1,"1",1,1,"0",1,"0"
"25","MATF-know-who-call","0",0,0,"0",0,0,"0",1,0,"0",0,"0","0","0","0","0","1","0","0","0","1","0","0",0,"0",1,"0",0,0,"0",0,"0"
"26","MST-know-where-view","1",1,1,"1",1,1,"1",1,1,"1",1,"1","1","1","1","1","1","1","1","1","1","1","1",1,"1",1,"1",1,1,"0",1,"1"
"27","MST-know-where-bury","1",1,1,"1",1,1,"1",1,1,"1",1,"1","1","1","1","1","1","1","0","1","1","1","1",1,"1",1,"1",1,1,"0",1,"1"
"28","MST-know-who-interview","1",1,1,"1",0,1,"1",1,1,"1",1,"1","1","1","1","1","1","1","1","1","1","1","1",1,"1",1,"1",1,1,"1",1,"1"
"29","MST-know-who-hire","1",1,1,"1",0,1,"1",0,1,"1",1,"1","1","1","1","1","1","1","1","1","1","1","1",1,"1",1,"1",0,1,"1",1,"1"
"30","MAT-know-where-store","1",0,1,"1",1,1,"1",1,1,"1",1,"0","1","0","1","1","1","1","1","1","1","1","1",1,"1",1,"1",0,1,"1",1,"1"
"31","MAT-know-where-sell","1",0,1,"1",1,1,"1",1,1,"1",1,"1","1","1","1","1","1","1","1","1","1","1","1",1,"1",1,"1",1,1,"1",1,"1"
"32","MAT-know-who-invite","1",1,1,"1",1,1,"1",1,1,"0",1,"1","1","1","1","1","1","1","1","1","1","1","1",1,"1",1,"1",1,1,"1",1,"1"
"33","MAT-know-who-select","1",1,1,"1",1,1,"1",1,1,"0",1,"1","1","1","1","1","1","1","1","1","1","1","1",1,"1",1,"1",1,1,"1",1,"1"
