subject,age,trial,order,noun,knowledge,report,response
34,adult,guitars,2,bp,f,t+f,0
35,adult,guitars,2,bp,f,t+f,0
36,adult,guitars,2,bp,f,t+f,0
37,adult,guitars,2,bp,f,t+f,1
38,adult,guitars,2,bp,f,t+f,0
39,adult,guitars,2,bp,f,t+f,1
40,adult,guitars,2,bp,f,t+f,0
41,adult,guitars,2,bp,f,t+f,1
22,adult,trucks,1,bp,p,t+f,0
23,adult,trucks,1,bp,p,t+f,0
24,adult,trucks,1,bp,p,t+f,0
25,adult,trucks,1,bp,p,t+f,0
26,adult,trucks,1,bp,p,t+f,1
27,adult,trucks,1,bp,p,t+f,1
28,adult,trucks,1,bp,p,t+f,0
29,adult,trucks,1,bp,p,t+f,0
30,adult,trucks,1,bp,p,t+f,0
31,adult,trucks,1,bp,p,t+f,0
42,adult,trucks,1,dd,p,t+f,1
46,adult,trucks,1,dd,p,t+f,0
47,adult,trucks,1,dd,p,t+f,0
48,adult,trucks,1,dd,p,t+f,0
49,adult,trucks,1,dd,p,t+f,0
52,adult,trucks,1,dd,p,t+f,0
54,adult,trucks,1,dd,p,t+f,0
56,adult,trucks,1,dd,p,t+f,0
57,adult,trucks,1,dd,p,t+f,0
58,adult,trucks,1,dd,p,t+f,0
50,adult,trucks,2,dd,p,t+f,0
51,adult,trucks,2,dd,p,t+f,0
53,adult,trucks,2,dd,p,t+f,0
55,adult,trucks,2,dd,p,t+f,0
59,adult,trucks,2,dd,p,t+f,0
62,adult,trucks,2,dd,p,t+f,0
63,adult,trucks,2,dd,p,t+f,0
67,adult,trucks,2,dd,p,t+f,0
68,adult,trucks,2,dd,p,t+f,0
69,adult,trucks,2,dd,p,t+f,0
32,adult,trucks,2,bp,p,t+f,0
33,adult,trucks,2,bp,p,t+f,0
34,adult,trucks,2,bp,p,t+f,0
35,adult,trucks,2,bp,p,t+f,0
36,adult,trucks,2,bp,p,t+f,0
37,adult,trucks,2,bp,p,t+f,0
38,adult,trucks,2,bp,p,t+f,0
39,adult,trucks,2,bp,p,t+f,1
40,adult,trucks,2,bp,p,t+f,0
41,adult,trucks,2,bp,p,t+f,1
22,adult,books,1,bp,f,tc,1
23,adult,books,1,bp,f,tc,1
24,adult,books,1,bp,f,tc,1
25,adult,books,1,bp,f,tc,1
26,adult,books,1,bp,f,tc,1
27,adult,books,1,bp,f,tc,1
28,adult,books,1,bp,f,tc,1
29,adult,books,1,bp,f,tc,1
30,adult,books,1,bp,f,tc,1
31,adult,books,1,bp,f,tc,1
42,adult,books,1,dd,f,tc,1
46,adult,books,1,dd,f,tc,1
47,adult,books,1,dd,f,tc,1
48,adult,books,1,dd,f,tc,1
49,adult,books,1,dd,f,tc,1
52,adult,books,1,dd,f,tc,1
54,adult,books,1,dd,f,tc,1
56,adult,books,1,dd,f,tc,1
57,adult,books,1,dd,f,tc,1
58,adult,books,1,dd,f,tc,1
50,adult,books,2,dd,f,tc,1
51,adult,books,2,dd,f,tc,1
53,adult,books,2,dd,f,tc,1
55,adult,books,2,dd,f,tc,1
59,adult,books,2,dd,f,tc,1
62,adult,books,2,dd,f,tc,1
63,adult,books,2,dd,f,tc,1
67,adult,books,2,dd,f,tc,1
68,adult,books,2,dd,f,tc,1
69,adult,books,2,dd,f,tc,1
32,adult,books,2,bp,f,tc,1
33,adult,books,2,bp,f,tc,1
34,adult,books,2,bp,f,tc,1
35,adult,books,2,bp,f,tc,1
36,adult,books,2,bp,f,tc,1
37,adult,books,2,bp,f,tc,1
38,adult,books,2,bp,f,tc,1
39,adult,books,2,bp,f,tc,1
40,adult,books,2,bp,f,tc,1
41,adult,books,2,bp,f,tc,1
22,adult,cats,1,bp,p,tc,1
23,adult,cats,1,bp,p,tc,1
24,adult,cats,1,bp,p,tc,1
25,adult,cats,1,bp,p,tc,1
26,adult,cats,1,bp,p,tc,0
27,adult,cats,1,bp,p,tc,1
28,adult,cats,1,bp,p,tc,1
29,adult,cats,1,bp,p,tc,1
30,adult,cats,1,bp,p,tc,1
31,adult,cats,1,bp,p,tc,1
42,adult,cats,1,dd,p,tc,1
46,adult,cats,1,dd,p,tc,1
47,adult,cats,1,dd,p,tc,1
48,adult,cats,1,dd,p,tc,1
49,adult,cats,1,dd,p,tc,1
52,adult,cats,1,dd,p,tc,1
54,adult,cats,1,dd,p,tc,1
56,adult,cats,1,dd,p,tc,1
57,adult,cats,1,dd,p,tc,1
58,adult,cats,1,dd,p,tc,1
50,adult,cats,2,dd,p,tc,1
51,adult,cats,2,dd,p,tc,1
53,adult,cats,2,dd,p,tc,1
55,adult,cats,2,dd,p,tc,1
59,adult,cats,2,dd,p,tc,1
62,adult,cats,2,dd,p,tc,1
63,adult,cats,2,dd,p,tc,1
67,adult,cats,2,dd,p,tc,1
68,adult,cats,2,dd,p,tc,1
69,adult,cats,2,dd,p,tc,1
32,adult,cats,2,bp,p,tc,1
33,adult,cats,2,bp,p,tc,1
34,adult,cats,2,bp,p,tc,1
35,adult,cats,2,bp,p,tc,1
36,adult,cats,2,bp,p,tc,1
37,adult,cats,2,bp,p,tc,1
38,adult,cats,2,bp,p,tc,1
39,adult,cats,2,bp,p,tc,1
40,adult,cats,2,bp,p,tc,1
41,adult,cats,2,bp,p,tc,1
22,adult,flowers,1,bp,f,tc,1
23,adult,flowers,1,bp,f,tc,1
24,adult,flowers,1,bp,f,tc,1
25,adult,flowers,1,bp,f,tc,1
26,adult,flowers,1,bp,f,tc,1
27,adult,flowers,1,bp,f,tc,1
28,adult,flowers,1,bp,f,tc,1
29,adult,flowers,1,bp,f,tc,1
30,adult,flowers,1,bp,f,tc,1
31,adult,flowers,1,bp,f,tc,1
42,adult,flowers,1,dd,f,tc,1
46,adult,flowers,1,dd,f,tc,1
47,adult,flowers,1,dd,f,tc,1
48,adult,flowers,1,dd,f,tc,1
49,adult,flowers,1,dd,f,tc,1
52,adult,flowers,1,dd,f,tc,1
54,adult,flowers,1,dd,f,tc,1
56,adult,flowers,1,dd,f,tc,1
57,adult,flowers,1,dd,f,tc,1
58,adult,flowers,1,dd,f,tc,1
50,adult,flowers,2,dd,f,tc,1
51,adult,flowers,2,dd,f,tc,1
53,adult,flowers,2,dd,f,tc,1
55,adult,flowers,2,dd,f,tc,1
59,adult,flowers,2,dd,f,tc,1
62,adult,flowers,2,dd,f,tc,1
63,adult,flowers,2,dd,f,tc,1
67,adult,flowers,2,dd,f,tc,1
68,adult,flowers,2,dd,f,tc,1
69,adult,flowers,2,dd,f,tc,1
32,adult,flowers,2,bp,f,tc,1
33,adult,flowers,2,bp,f,tc,1
34,adult,flowers,2,bp,f,tc,1
35,adult,flowers,2,bp,f,tc,1
36,adult,flowers,2,bp,f,tc,1
37,adult,flowers,2,bp,f,tc,1
38,adult,flowers,2,bp,f,tc,1
39,adult,flowers,2,bp,f,tc,1
40,adult,flowers,2,bp,f,tc,0
41,adult,flowers,2,bp,f,tc,1
22,adult,hats,1,bp,f,tc,1
23,adult,hats,1,bp,f,tc,1
24,adult,hats,1,bp,f,tc,1
25,adult,hats,1,bp,f,tc,1
26,adult,hats,1,bp,f,tc,1
27,adult,hats,1,bp,f,tc,1
28,adult,hats,1,bp,f,tc,1
29,adult,hats,1,bp,f,tc,1
30,adult,hats,1,bp,f,tc,1
31,adult,hats,1,bp,f,tc,1
