subject,trial,order,noun,knowledge,report,response
49,cats,1,dd,p,se,1
52,cats,1,dd,p,se,1
54,cats,1,dd,p,se,1
56,cats,1,dd,p,se,1
57,cats,1,dd,p,se,1
58,cats,1,dd,p,se,1
50,cats,2,dd,p,se,1
51,cats,2,dd,p,se,1
53,cats,2,dd,p,se,1
55,cats,2,dd,p,se,1
59,cats,2,dd,p,se,1
62,cats,2,dd,p,se,1
63,cats,2,dd,p,se,1
67,cats,2,dd,p,se,1
68,cats,2,dd,p,se,1
69,cats,2,dd,p,se,1
32,cats,2,bp,p,se,1
33,cats,2,bp,p,se,1
34,cats,2,bp,p,se,1
35,cats,2,bp,p,se,1
36,cats,2,bp,p,se,1
37,cats,2,bp,p,se,1
38,cats,2,bp,p,se,1
39,cats,2,bp,p,se,1
40,cats,2,bp,p,se,1
41,cats,2,bp,p,se,1
22,flowers,1,bp,f,se,1
23,flowers,1,bp,f,se,1
24,flowers,1,bp,f,se,1
25,flowers,1,bp,f,se,1
26,flowers,1,bp,f,se,1
27,flowers,1,bp,f,se,1
28,flowers,1,bp,f,se,1
29,flowers,1,bp,f,se,1
30,flowers,1,bp,f,se,1
31,flowers,1,bp,f,se,1
42,flowers,1,dd,f,se,1
46,flowers,1,dd,f,se,1
47,flowers,1,dd,f,se,1
48,flowers,1,dd,f,se,1
49,flowers,1,dd,f,se,1
52,flowers,1,dd,f,se,1
54,flowers,1,dd,f,se,1
56,flowers,1,dd,f,se,1
57,flowers,1,dd,f,se,1
58,flowers,1,dd,f,se,1
50,flowers,2,dd,f,se,1
51,flowers,2,dd,f,se,1
53,flowers,2,dd,f,se,1
55,flowers,2,dd,f,se,1
59,flowers,2,dd,f,se,1
62,flowers,2,dd,f,se,1
63,flowers,2,dd,f,se,1
67,flowers,2,dd,f,se,1
68,flowers,2,dd,f,se,1
69,flowers,2,dd,f,se,1
32,flowers,2,bp,f,se,1
33,flowers,2,bp,f,se,1
34,flowers,2,bp,f,se,1
35,flowers,2,bp,f,se,1
36,flowers,2,bp,f,se,1
37,flowers,2,bp,f,se,1
38,flowers,2,bp,f,se,1
39,flowers,2,bp,f,se,1
40,flowers,2,bp,f,se,0
41,flowers,2,bp,f,se,1
22,hats,1,bp,f,se,1
23,hats,1,bp,f,se,1
24,hats,1,bp,f,se,1
25,hats,1,bp,f,se,1
26,hats,1,bp,f,se,1
27,hats,1,bp,f,se,1
28,hats,1,bp,f,se,1
29,hats,1,bp,f,se,1
30,hats,1,bp,f,se,1
31,hats,1,bp,f,se,1
42,hats,1,dd,f,se,1
46,hats,1,dd,f,se,1
47,hats,1,dd,f,se,1
48,hats,1,dd,f,se,1
49,hats,1,dd,f,se,1
52,hats,1,dd,f,se,1
54,hats,1,dd,f,se,1
56,hats,1,dd,f,se,1
57,hats,1,dd,f,se,1
58,hats,1,dd,f,se,1
50,hats,2,dd,f,se,1
51,hats,2,dd,f,se,1
53,hats,2,dd,f,se,1
55,hats,2,dd,f,se,1
59,hats,2,dd,f,se,1
62,hats,2,dd,f,se,1
63,hats,2,dd,f,se,1
67,hats,2,dd,f,se,1
68,hats,2,dd,f,se,1
69,hats,2,dd,f,se,1
32,hats,2,bp,f,se,1
33,hats,2,bp,f,se,0
34,hats,2,bp,f,se,1
35,hats,2,bp,f,se,1
36,hats,2,bp,f,se,1
37,hats,2,bp,f,se,1
38,hats,2,bp,f,se,1
39,hats,2,bp,f,se,1
40,hats,2,bp,f,se,1
41,hats,2,bp,f,se,1
22,pencils,1,bp,f,se,1
23,pencils,1,bp,f,se,1
24,pencils,1,bp,f,se,1
25,pencils,1,bp,f,se,1
26,pencils,1,bp,f,se,1
27,pencils,1,bp,f,se,1
28,pencils,1,bp,f,se,1
29,pencils,1,bp,f,se,1
30,pencils,1,bp,f,se,1
31,pencils,1,bp,f,se,1
42,pencils,1,dd,f,se,1
46,pencils,1,dd,f,se,1
47,pencils,1,dd,f,se,1
48,pencils,1,dd,f,se,1
49,pencils,1,dd,f,se,1
52,pencils,1,dd,f,se,1
54,pencils,1,dd,f,se,1
56,pencils,1,dd,f,se,1
57,pencils,1,dd,f,se,1
58,pencils,1,dd,f,se,1
50,pencils,2,dd,f,se,1
51,pencils,2,dd,f,se,1
53,pencils,2,dd,f,se,1
55,pencils,2,dd,f,se,1
59,pencils,2,dd,f,se,1
62,pencils,2,dd,f,se,1
63,pencils,2,dd,f,se,1
67,pencils,2,dd,f,se,1
68,pencils,2,dd,f,se,1
69,pencils,2,dd,f,se,1
32,pencils,2,bp,f,se,1
33,pencils,2,bp,f,se,1
34,pencils,2,bp,f,se,1
35,pencils,2,bp,f,se,1
36,pencils,2,bp,f,se,1
37,pencils,2,bp,f,se,1
38,pencils,2,bp,f,se,1
39,pencils,2,bp,f,se,1
40,pencils,2,bp,f,se,1
41,pencils,2,bp,f,se,1
22,socks,1,bp,f,f,0
23,socks,1,bp,f,f,0
24,socks,1,bp,f,f,0
25,socks,1,bp,f,f,0
26,socks,1,bp,f,f,0
27,socks,1,bp,f,f,0
28,socks,1,bp,f,f,0
29,socks,1,bp,f,f,0
30,socks,1,bp,f,f,0
31,socks,1,bp,f,f,1
42,socks,1,dd,f,f,0
46,socks,1,dd,f,f,0
47,socks,1,dd,f,f,0
48,socks,1,dd,f,f,0
49,socks,1,dd,f,f,0
52,socks,1,dd,f,f,0
54,socks,1,dd,f,f,0
56,socks,1,dd,f,f,0
57,socks,1,dd,f,f,0
58,socks,1,dd,f,f,0
50,socks,2,dd,f,f,0
51,socks,2,dd,f,f,0
53,socks,2,dd,f,f,0
55,socks,2,dd,f,f,0
59,socks,2,dd,f,f,0
62,socks,2,dd,f,f,0
63,socks,2,dd,f,f,0
67,socks,2,dd,f,f,0
68,socks,2,dd,f,f,0
69,socks,2,dd,f,f,0
32,socks,2,bp,f,f,0
33,socks,2,bp,f,f,0
34,socks,2,bp,f,f,0
35,socks,2,bp,f,f,0
36,socks,2,bp,f,f,0
37,socks,2,bp,f,f,0
38,socks,2,bp,f,f,0
39,socks,2,bp,f,f,0
40,socks,2,bp,f,f,0
41,socks,2,bp,f,f,1
