subject,pool,trial,story,verb,wh,report,response
172.58.137.226,online,Filler-FB,tv,predict,who,t+f,0
172.58.137.226,online,Filler-FB,dogpark,tell,which dogs,t+f,1
172.58.137.226,online,FILLER-FB,party,surprise,who,t+f,0
172.58.137.226,online,FILLER-FB,kittens,certain,who,t+f,1
172.58.137.226,online,Filler-FB,election,agree on,who,t+f,1
172.58.137.226,online,Filler-FB,travel,forgot,who,t+f,1
172.58.137.226,online,FILLER-FB,book,wonder,who,t+f,1
73.72.139.14,online,Filler-FB,tv,predict,who,t+f,0
73.72.139.14,online,Filler-FB,dogpark,tell,which dogs,t+f,0
73.72.139.14,online,FILLER-FB,party,surprise,who,t+f,0
73.72.139.14,online,FILLER-FB,kittens,certain,who,t+f,1
73.72.139.14,online,Filler-FB,election,agree on,who,t+f,1
73.72.139.14,online,Filler-FB,travel,forgot,who,t+f,0
73.72.139.14,online,FILLER-FB,book,wonder,who,t+f,1
73.134.84.161,online,Filler-FB,tv,predict,who,t+f,0
73.134.84.161,online,Filler-FB,dogpark,tell,which dogs,t+f,0
73.134.84.161,online,FILLER-FB,party,surprise,who,t+f,1
73.134.84.161,online,FILLER-FB,kittens,certain,who,t+f,1
73.134.84.161,online,Filler-FB,election,agree on,who,t+f,1
73.134.84.161,online,Filler-FB,travel,forgot,who,t+f,1
73.134.84.161,online,FILLER-FB,book,wonder,who,t+f,1
165.230.224.64,online,Filler-FB,tv,predict,who,t+f,0
165.230.224.64,online,Filler-FB,dogpark,tell,which dogs,t+f,0
165.230.224.64,online,FILLER-FB,party,surprise,who,t+f,0
165.230.224.64,online,FILLER-FB,kittens,certain,who,t+f,0
165.230.224.64,online,Filler-FB,election,agree on,who,t+f,1
165.230.224.64,online,Filler-FB,travel,forgot,who,t+f,1
165.230.224.64,online,FILLER-FB,book,wonder,who,t+f,1
76.167.240.24,online,Filler-FB,tv,predict,who,t+f,1
76.167.240.24,online,Filler-FB,dogpark,tell,which dogs,t+f,1
76.167.240.24,online,FILLER-FB,party,surprise,who,t+f,1
76.167.240.24,online,FILLER-FB,kittens,certain,who,t+f,0
76.167.240.24,online,Filler-FB,election,agree on,who,t+f,1
76.167.240.24,online,Filler-FB,travel,forgot,who,t+f,1
76.167.240.24,online,FILLER-FB,book,wonder,who,t+f,1
98.25.196.90,online,Filler-FB,tv,predict,who,t+f,0
98.25.196.90,online,Filler-FB,dogpark,tell,which dogs,t+f,1
98.25.196.90,online,FILLER-FB,party,surprise,who,t+f,1
98.25.196.90,online,FILLER-FB,kittens,certain,who,t+f,1
98.25.196.90,online,Filler-FB,election,agree on,who,t+f,1
98.25.196.90,online,Filler-FB,travel,forgot,who,t+f,1
