subject,pool,trial,story,verb,wh,report,response
65.112.10.174,online,FILLER-MS,lounge,wonder,who,ms,0
150.108.216.96,online,Filler-MS,track,predict,who,ms,1
150.108.216.96,online,FIller-MS,ice cream,tell,where,ms,1
150.108.216.96,online,Filler-MS,gas,surprise,what gas stations,ms,1
150.108.216.96,online,FILLER-MS,notary,certain,where,ms,1
150.108.216.96,online,FILLER-MS,nobel,agree on,which physicists,ms,1
150.108.216.96,online,Filler-MS,movie,forgot,where,ms,1
150.108.216.96,online,FILLER-MS,lounge,wonder,who,ms,0
24.185.2.85,online,Filler-MS,track,predict,who,ms,1
24.185.2.85,online,FIller-MS,ice cream,tell,where,ms,1
24.185.2.85,online,Filler-MS,gas,surprise,what gas stations,ms,1
24.185.2.85,online,FILLER-MS,notary,certain,where,ms,1
24.185.2.85,online,FILLER-MS,nobel,agree on,which physicists,ms,1
24.185.2.85,online,Filler-MS,movie,forgot,where,ms,0
24.185.2.85,online,FILLER-MS,lounge,wonder,who,ms,0
71.126.138.173,online,Filler-MS,track,predict,who,ms,1
71.126.138.173,online,FIller-MS,ice cream,tell,where,ms,1
71.126.138.173,online,Filler-MS,gas,surprise,what gas stations,ms,1
71.126.138.173,online,FILLER-MS,notary,certain,where,ms,1
71.126.138.173,online,FILLER-MS,nobel,agree on,which physicists,ms,0
71.126.138.173,online,Filler-MS,movie,forgot,where,ms,0
71.126.138.173,online,FILLER-MS,lounge,wonder,who,ms,0
71.66.228.164,online,Filler-MS,track,predict,who,ms,0
71.66.228.164,online,FIller-MS,ice cream,tell,where,ms,1
71.66.228.164,online,Filler-MS,gas,surprise,what gas stations,ms,1
71.66.228.164,online,FILLER-MS,notary,certain,where,ms,1
71.66.228.164,online,FILLER-MS,nobel,agree on,which physicists,ms,1
71.66.228.164,online,Filler-MS,movie,forgot,where,ms,0
71.66.228.164,online,FILLER-MS,lounge,wonder,who,ms,1
50.153.246.193,online,Filler-MS,track,predict,who,ms,1
50.153.246.193,online,FIller-MS,ice cream,tell,where,ms,1
50.153.246.193,online,Filler-MS,gas,surprise,what gas stations,ms,1
50.153.246.193,online,FILLER-MS,notary,certain,where,ms,1
50.153.246.193,online,FILLER-MS,nobel,agree on,which physicists,ms,1
50.153.246.193,online,Filler-MS,movie,forgot,where,ms,0
50.153.246.193,online,FILLER-MS,lounge,wonder,who,ms,0
47.20.0.183,online,Filler-MS,track,predict,who,ms,1
47.20.0.183,online,FIller-MS,ice cream,tell,where,ms,1
47.20.0.183,online,Filler-MS,gas,surprise,what gas stations,ms,1
47.20.0.183,online,FILLER-MS,notary,certain,where,ms,1
47.20.0.183,online,FILLER-MS,nobel,agree on,which physicists,ms,1
47.20.0.183,online,Filler-MS,movie,forgot,where,ms,0
